Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
9/9/2019,46.35800171,74.16000366,46.35800171,74.16000366,46.7519989,77.73999786,45.84600067,73.15000153,46,77.19999695,24013500,1315400
9/10/2019,47.10800171,75.12000275,47.10800171,75.12000275,47.10800171,76.29000092,45.7879982,72.5,46.15999985,73.63999939,24418500,1410000
9/11/2019,49.41999817,79.43000031,49.41999817,79.43000031,49.63399887,80.05500031,47.20000076,74.91999817,47.47600174,75.12999725,50214000,931100
9/12/2019,49.17399979,71.63999939,49.17399979,71.63999939,50.70000076,81.15499878,48.88000107,70.875,49.54000092,80.27999878,42906000,3773500
9/13/2019,49.04000092,76.12000275,49.04000092,76.12000275,49.68999863,76.65000153,48.97399902,71.55000305,49.39199829,71.55000305,26565500,1531900
9/16/2019,48.56200027,79.30999756,48.56200027,79.30999756,49.48600006,80.66000366,48.23400116,76.40000153,49.20000076,76.51000214,23640500,1539200
9/17/2019,48.95800018,83.05999756,48.95800018,83.05999756,49.11999893,83.20500183,48.07400131,79.40000153,48.49399948,79.40000153,19327000,1334100
9/18/2019,48.69800186,83.04000092,48.69800186,83.04000092,49.63399887,83.48999786,48.47399902,80.44000244,49,83.15000153,20851000,841300
9/19/2019,49.31999969,89.41999817,49.31999969,89.41999817,49.58800125,90.44999695,48.9679985,83.19999695,49.20000076,83.44000244,23979000,3501400
9/20/2019,48.12400055,89.41000366,48.12400055,89.41000366,49.38999939,91.41999817,47.63199997,85.90000153,49.29800034,90.26000214,31765000,2232700
9/23/2019,48.24599838,89.87000275,48.24599838,89.87000275,49.0359993,90.37000275,47.84400177,87.33000183,48,89.09999847,21701000,1041800
9/24/2019,44.64199829,86.76000214,44.64199829,86.76000214,48.39799881,91.4489975,44.52199936,84.91999817,48.30400085,90.11000061,64457500,1341700
9/25/2019,45.74000168,88.30000305,45.74000168,88.30000305,45.79600143,88.72000122,43.67200089,84.87000275,44.91199875,86.22000122,47135500,690600
9/26/2019,48.51200104,85.34999847,48.51200104,85.34999847,48.66199875,89.52899933,45.47999954,84.97000122,46.13199997,88.70999908,59422500,666400
9/27/2019,48.42599869,82.08000183,48.42599869,82.08000183,49.74200058,86.19000244,47.74599838,81.08999634,48.43999863,85.51000214,55582000,1201700
9/30/2019,48.17399979,83.72000122,48.17399979,83.72000122,48.79600143,84.72000122,47.22200012,81.21499634,48.59999847,82.31999969,29399000,603300
